"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"u:\telegram-miniapp-game\src\components\screens\MainMenu.jsx", "JavaScript JSX", 0, 852, 0, 0, 37, 88, 977
"u:\telegram-miniapp-game\src\components\screens\MainMenu.scss", "SCSS", 0, 0, 469, 0, 80, 81, 630
"u:\telegram-miniapp-game\src\components\screens\ReferralsTab.jsx", "JavaScript JSX", 0, 277, 0, 0, 7, 25, 309
"u:\telegram-miniapp-game\src\components\screens\ReferralsTab.scss", "SCSS", 0, 0, 403, 0, 9, 41, 453
"u:\telegram-miniapp-game\src\components\screens\RewardsScreen.jsx", "JavaScript JSX", 0, 306, 0, 0, 22, 52, 380
"u:\telegram-miniapp-game\src\components\screens\RewardsScreen.scss", "SCSS", 0, 0, 285, 0, 50, 36, 371
"u:\telegram-miniapp-game\src\components\screens\ShardPassScreen.jsx", "JavaScript JSX", 0, 764, 0, 0, 34, 67, 865
"u:\telegram-miniapp-game\src\components\screens\ShardPassScreen.scss", "SCSS", 0, 0, 1486, 0, 102, 199, 1787
"u:\telegram-miniapp-game\src\components\screens\Shop.jsx", "JavaScript JSX", 0, 872, 0, 0, 50, 71, 993
"u:\telegram-miniapp-game\src\components\screens\Shop.scss", "SCSS", 0, 0, 738, 0, 76, 100, 914
"u:\telegram-miniapp-game\src\components\screens\TaskCenterModal.jsx", "JavaScript JSX", 0, 126, 0, 0, 28, 16, 170
"u:\telegram-miniapp-game\src\components\screens\TaskCenterModal.scss", "SCSS", 0, 0, 377, 0, 20, 48, 445
"u:\telegram-miniapp-game\src\components\screens\TaskItemNew.jsx", "JavaScript JSX", 0, 61, 0, 0, 10, 6, 77
"u:\telegram-miniapp-game\src\components\screens\TaskItemNew.scss", "SCSS", 0, 0, 128, 0, 22, 22, 172
"u:\telegram-miniapp-game\src\components\useEnemyLoader.jsx", "JavaScript JSX", 0, 282, 0, 0, 17, 36, 335
"u:\telegram-miniapp-game\src\components\usePlayerLoader.jsx", "JavaScript JSX", 0, 72, 0, 0, 7, 11, 90
"u:\telegram-miniapp-game\src\components\utils.js", "JavaScript", 18, 0, 0, 0, 3, 6, 27
"u:\telegram-miniapp-game\src\config\raceData.js", "JavaScript", 68, 0, 0, 0, 4, 2, 74
"u:\telegram-miniapp-game\src\context\TelegramProvider.jsx", "JavaScript JSX", 0, 67, 0, 0, 28, 14, 109
"u:\telegram-miniapp-game\src\data\ShardPassRewardsData.js", "JavaScript", 299, 0, 0, 0, 60, 6, 365
"u:\telegram-miniapp-game\src\data\ShardPassTasksData.js", "JavaScript", 68, 0, 0, 0, 33, 5, 106
"u:\telegram-miniapp-game\src\data\TimeConstants.js", "JavaScript", 26, 0, 0, 0, 24, 10, 60
"u:\telegram-miniapp-game\src\data\achievementsDatabase.js", "JavaScript", 260, 0, 0, 0, 16, 5, 281
"u:\telegram-miniapp-game\src\data\artifactChestData.js", "JavaScript", 85, 0, 0, 0, 9, 9, 103
"u:\telegram-miniapp-game\src\data\artifactsData.js", "JavaScript", 326, 0, 0, 0, 19, 17, 362
"u:\telegram-miniapp-game\src\data\enemyBaseStats.js", "JavaScript", 85, 0, 0, 0, 14, 6, 105
"u:\telegram-miniapp-game\src\data\forgeDatabase.js", "JavaScript", 196, 0, 0, 0, 19, 10, 225
"u:\telegram-miniapp-game\src\data\gearChestData.js", "JavaScript", 46, 0, 0, 0, 8, 7, 61
"u:\telegram-miniapp-game\src\data\generalBundlesData.js", "JavaScript", 92, 0, 0, 0, 4, 2, 98
"u:\telegram-miniapp-game\src\data\globalTrackRewards.js", "JavaScript", 78, 0, 0, 0, 11, 4, 93
"u:\telegram-miniapp-game\src\data\itemSets.js", "JavaScript", 32, 0, 0, 0, 2, 2, 36
"u:\telegram-miniapp-game\src\data\itemsDatabase.js", "JavaScript", 329, 0, 0, 0, 77, 27, 433
"u:\telegram-miniapp-game\src\data\levelChestData.js", "JavaScript", 42, 0, 0, 0, 9, 2, 53
"u:\telegram-miniapp-game\src\data\levelRewardsData.js", "JavaScript", 94, 0, 0, 0, 18, 4, 116
"u:\telegram-miniapp-game\src\data\rarityData.js", "JavaScript", 170, 0, 0, 0, 28, 29, 227
"u:\telegram-miniapp-game\src\data\rewardStagesData.js", "JavaScript", 75, 0, 0, 0, 12, 3, 90
"u:\telegram-miniapp-game\src\data\shopData.js", "JavaScript", 68, 0, 0, 0, 8, 2, 78
"u:\telegram-miniapp-game\src\data\specialDealsData.js", "JavaScript", 107, 0, 0, 0, 8, 2, 117
"u:\telegram-miniapp-game\src\data\tasksData.js", "JavaScript", 168, 0, 0, 0, 5, 8, 181
"u:\telegram-miniapp-game\src\data\trialsData.js", "JavaScript", 56, 0, 0, 0, 2, 2, 60
"u:\telegram-miniapp-game\src\data\worldMapData.js", "JavaScript", 12, 0, 0, 0, 9, 4, 25
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter10Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter1Data.js", "JavaScript", 91, 0, 0, 0, 1, 3, 95
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter2Data.js", "JavaScript", 91, 0, 0, 0, 1, 3, 95
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter3Data.js", "JavaScript", 91, 0, 0, 0, 1, 3, 95
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter4Data.js", "JavaScript", 91, 0, 0, 0, 1, 3, 95
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter5Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter6Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter7Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter8Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\chapter9Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_01_necropolis\zoneData.js", "JavaScript", 41, 0, 0, 0, 10, 8, 59
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter11Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter12Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter13Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
"u:\telegram-miniapp-game\src\data\zones\zone_02_infernal_chasm\chapter14Data.js", "JavaScript", 91, 0, 0, 0, 0, 2, 93
